City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,Leshukonskoye,64.8989,45.7622,-15.75,93,37,2.71,RU,2022-12-05 00:07:51
73,Esperance,-33.8667,121.9,17.19,76,96,5.47,AU,2022-12-05 00:07:52
74,Banjar,-8.19,114.9675,27.55,79,64,1.19,ID,2022-12-05 00:07:52
75,Arraial Do Cabo,-22.9661,-42.0278,22.81,89,100,13.05,BR,2022-12-05 00:07:52
76,Namibe,-15.1961,12.1522,20.68,83,96,1.02,AO,2022-12-05 00:07:52
77,Barrow,71.2906,-156.7887,-5.99,86,100,12.86,US,2022-12-05 00:05:21
78,Hermanus,-34.4187,19.2345,14.69,75,53,1.74,ZA,2022-12-05 00:04:05
79,Berlevag,70.8578,29.0864,-5.11,79,50,2.06,NO,2022-12-05 00:07:53
80,Te Anau,-45.4167,167.7167,17.01,56,94,3.03,NZ,2022-12-05 00:07:54
81,Bengkulu,-3.8004,102.2655,23.87,88,100,1.24,ID,2022-12-05 00:07:54
82,Grand Gaube,-20.0064,57.6608,24.65,70,64,2.68,MU,2022-12-05 00:07:54
83,Grindavik,63.8424,-22.4338,3.26,100,100,2.06,IS,2022-12-05 00:07:55
84,Muzhi,65.3667,64.6667,-13.7,90,76,2.12,RU,2022-12-05 00:07:55
85,Skogn,63.7,11.2,-5.34,62,100,2.12,NO,2022-12-05 00:07:55
86,Cayenne,4.9333,-52.3333,24.02,100,0,0.0,GF,2022-12-05 00:07:56
87,Katherine,-14.4667,132.2667,30.18,62,21,5.14,AU,2022-12-05 00:07:56
88,Longyearbyen,78.2186,15.6401,-1.09,100,100,2.06,SJ,2022-12-05 00:07:56
89,Point Pedro,9.8167,80.2333,25.89,83,75,5.61,LK,2022-12-05 00:07:57
90,Ponta Do Sol,32.6667,-17.1,17.78,85,97,8.61,PT,2022-12-05 00:05:18
91,Port Elizabeth,-33.918,25.5701,16.16,97,100,3.6,ZA,2022-12-05 00:03:30
92,Nyanza,-2.3519,29.7509,13.18,91,100,1.49,RW,2022-12-05 00:08:57
93,Cabo San Lucas,22.8909,-109.9124,28.12,73,0,2.57,MX,2022-12-05 00:04:15
94,Skibbereen,51.55,-9.2667,6.73,82,87,8.59,IE,2022-12-05 00:08:58
95,Hobart,-42.8794,147.3294,12.92,93,75,9.77,AU,2022-12-04 23:59:30
96,Pepel,8.5817,-13.0628,24.64,89,76,0.67,SL,2022-12-05 00:08:58
97,Manggar,-2.8833,108.2667,26.22,84,100,0.73,ID,2022-12-05 00:03:59
98,Seidu,9.0167,-10.6,20.94,92,98,0.49,SL,2022-12-05 00:08:59
99,Lac-Megantic,45.5834,-70.8823,-6.94,81,79,1.7,CA,2022-12-05 00:08:59
100,Santa Isabel Do Rio Negro,-0.4139,-65.0192,23.52,97,84,1.18,BR,2022-12-05 00:09:00
101,Nuh,28.1167,77.0167,14.63,41,0,1.46,IN,2022-12-05 00:09:00
102,Angoram,-4.0625,144.0661,30.3,66,91,1.38,PG,2022-12-05 00:09:01
103,Havoysund,70.9963,24.6622,-2.87,80,20,4.98,NO,2022-12-05 00:09:01
104,Trairi,-3.2778,-39.2689,26.24,76,52,6.51,BR,2022-12-05 00:08:03
105,Keti Bandar,24.1447,67.4497,22.05,40,0,3.24,PK,2022-12-05 00:09:02
106,Xining,36.6167,101.7667,-6.65,54,39,1.13,CN,2022-12-05 00:09:02
107,Severo-Kurilsk,50.6789,156.125,-4.19,66,75,4.62,RU,2022-12-05 00:09:02
108,Mana,5.6592,-53.7767,24.17,89,99,1.77,GF,2022-12-05 00:09:03
109,Abonnema,4.7084,6.7931,25.9,87,48,3.09,NG,2022-12-05 00:09:03
110,Ibra,22.6906,58.5334,17.61,66,2,0.27,OM,2022-12-05 00:09:03
111,Morant Bay,17.8815,-76.4093,27.79,79,14,5.11,JM,2022-12-05 00:09:04
112,Jabinyanah,35.035,10.9081,15.49,42,1,3.96,TN,2022-12-05 00:09:04
113,College,64.8569,-147.8028,-8.84,88,40,0.0,US,2022-12-05 00:04:03
114,Lebu,-37.6167,-73.65,13.98,85,0,5.7,CL,2022-12-05 00:09:05
115,Kavaratti,10.5669,72.642,27.81,74,94,3.78,IN,2022-12-05 00:09:05
116,Bac Lieu,9.285,105.7244,26.08,87,100,7.57,VN,2022-12-05 00:09:05
117,Zyryanovsk,49.7386,84.2719,-14.38,98,100,0.48,KZ,2022-12-05 00:09:06
118,Cherskiy,68.75,161.3,-33.86,99,23,2.28,RU,2022-12-05 00:09:06
119,Mahebourg,-20.4081,57.7,24.58,78,20,3.09,MU,2022-12-05 00:01:35
120,Kochubey,44.3861,46.5825,0.28,62,65,7.04,RU,2022-12-05 00:09:07
121,Koping,59.514,15.9926,-2.68,86,92,1.18,SE,2022-12-05 00:09:07
122,Ahuimanu,21.4447,-157.8378,27.84,71,75,5.14,US,2022-12-05 00:09:08
123,Bijie,27.3125,105.2942,-0.62,87,36,0.84,CN,2022-12-05 00:09:08
124,Norman Wells,65.282,-126.8329,-29.25,98,49,1.61,CA,2022-12-05 00:09:08
125,Koch Bihar,26.3167,89.4333,16.27,67,0,1.19,IN,2022-12-05 00:09:09
126,Awjilah,29.1081,21.2869,15.65,51,8,3.78,LY,2022-12-05 00:09:09
127,Kantabanji,20.4833,82.9167,15.46,67,8,0.35,IN,2022-12-05 00:09:09
128,Ishigaki,24.3448,124.1572,24.19,81,22,4.8,JP,2022-12-05 00:09:10
129,Lyubech,51.7026,30.6569,-7.81,71,99,4.79,UA,2022-12-05 00:09:10
130,Cherepanovo,54.2222,83.381,-16.42,89,92,1.74,RU,2022-12-05 00:09:10
131,Benton Harbor,42.1167,-86.4542,2.28,49,0,3.13,US,2022-12-05 00:08:43
132,Kutum,14.2,24.6667,16.3,29,68,4.46,SD,2022-12-05 00:10:11
133,Nouakchott,18.0858,-15.9785,17.96,69,0,3.83,MR,2022-12-05 00:10:11
134,Bartica,6.4,-58.6167,22.18,99,100,0.79,GY,2022-12-05 00:10:12
135,Ancud,-41.8697,-73.8203,13.21,90,98,5.61,CL,2022-12-05 00:10:12
136,Ribeira Grande,38.5167,-28.7,15.43,72,86,3.13,PT,2022-12-05 00:10:12
137,Sangmelima,2.9333,11.9833,20.37,92,24,0.65,CM,2022-12-05 00:10:13
138,Vardo,70.3705,31.1107,-4.01,86,100,5.14,NO,2022-12-05 00:10:13
139,Sao Joao Da Barra,-21.6403,-41.0511,23.07,87,100,8.55,BR,2022-12-05 00:01:06
140,Puerto Ayora,-0.7393,-90.3518,21.97,89,78,2.68,EC,2022-12-05 00:10:14
141,Mwinilunga,-11.7358,24.4293,16.71,93,100,2.08,ZM,2022-12-05 00:10:14
142,Dillon,34.4166,-79.3712,12.24,67,99,2.87,US,2022-12-05 00:07:15
143,Kahului,20.8947,-156.47,29.01,61,40,8.23,US,2022-12-05 00:10:15
144,Belyy Yar,53.6039,91.3903,-25.06,84,55,1.0,RU,2022-12-05 00:10:15
145,Payo,-3.7508,103.6372,23.21,96,100,0.5,ID,2022-12-05 00:10:16
146,Tautira,-17.7333,-149.15,26.29,79,50,6.62,PF,2022-12-05 00:10:16
147,Nikolskoye,59.7035,30.7861,-4.06,95,100,3.53,RU,2022-12-05 00:04:02
148,Iqaluit,63.7506,-68.5145,-2.15,100,100,2.06,CA,2022-12-05 00:10:16
149,Vao,-22.6667,167.4833,25.32,88,99,9.22,NC,2022-12-05 00:06:22
150,Tasiilaq,65.6145,-37.6368,-1.91,65,15,1.7,GL,2022-12-05 00:05:21
151,Sangar,63.9242,127.4739,-30.48,94,100,5.97,RU,2022-12-05 00:10:17
152,Pevek,69.7008,170.3133,-16.35,91,100,4.88,RU,2022-12-05 00:04:05
153,Coihaique,-45.5752,-72.0662,10.34,93,75,2.06,CL,2022-12-05 00:10:17
154,Sola,-13.8833,167.55,28.01,71,93,7.25,VU,2022-12-05 00:10:18
155,Vung Tau,10.346,107.0843,26.03,83,99,4.71,VN,2022-12-05 00:10:18
156,Longhua,23.6137,114.1919,11.9,75,100,2.64,CN,2022-12-05 00:10:18
157,Kodiak,57.79,-152.4072,2.73,87,75,5.14,US,2022-12-05 00:10:19
158,Temiscaming,46.7212,-79.0971,-2.25,69,100,4.28,CA,2022-12-05 00:10:20
159,Phan Thiet,10.9333,108.1,24.97,82,79,2.58,VN,2022-12-05 00:10:20
160,Tarrega,41.647,1.1396,5.08,78,9,1.28,ES,2022-12-05 00:10:20
161,Bredasdorp,-34.5322,20.0403,13.48,74,75,1.58,ZA,2022-12-05 00:10:21
162,Zaporizhzhya,47.8167,35.1833,-5.99,50,1,6.39,UA,2022-12-05 00:08:53
163,Mar Del Plata,-38.0023,-57.5575,19.49,85,0,4.02,AR,2022-12-05 00:04:58
164,Hovd,48.0056,91.6419,-17.23,81,100,0.54,MN,2022-12-05 00:10:21
165,Vanimo,-2.6741,141.3028,28.47,78,92,2.7,PG,2022-12-05 00:10:21
166,Fort Nelson,58.8053,-122.7002,-8.92,64,100,1.34,CA,2022-12-05 00:10:22
167,Falkenberg,56.9055,12.4912,2.36,87,99,6.16,SE,2022-12-05 00:10:22
168,Prainha,-1.8,-53.48,23.47,96,97,0.19,BR,2022-12-05 00:10:23
169,Alofi,-19.0595,-169.9187,26.52,72,76,1.25,NU,2022-12-05 00:05:13
170,Ulladulla,-35.35,150.4667,27.43,44,10,1.8,AU,2022-12-05 00:10:23
171,Saskylakh,71.9167,114.0833,-23.08,96,100,6.82,RU,2022-12-05 00:04:01
172,Leningradskiy,69.3833,178.4167,-10.22,94,100,6.43,RU,2022-12-05 00:10:24
173,Nizwa,22.9333,57.5333,17.55,64,0,0.83,OM,2022-12-05 00:10:24
174,Saint George,37.1041,-113.5841,16.33,48,0,2.06,US,2022-12-05 00:10:24
175,Romodanovo,54.4275,45.3296,-13.57,95,15,0.95,RU,2022-12-05 00:10:25
176,La Massana,42.5667,1.4833,-4.63,82,18,0.47,AD,2022-12-05 00:10:25
177,Padang,-0.9492,100.3543,23.03,86,100,1.57,ID,2022-12-05 00:11:26
178,Saint Anthony,45.0205,-93.218,0.96,59,0,6.69,US,2022-12-05 00:11:26
179,Kapaa,22.0752,-159.319,28.18,72,40,4.63,US,2022-12-05 00:11:26
180,Tiksi,71.6872,128.8694,-21.7,96,100,5.05,RU,2022-12-05 00:11:27
181,Lorengau,-2.0226,147.2712,27.82,77,100,2.38,PG,2022-12-05 00:11:27
182,Bafq,31.6128,55.4107,7.9,57,85,3.77,IR,2022-12-05 00:11:27
183,Bluff,-46.6,168.3333,10.45,69,100,2.62,NZ,2022-12-05 00:11:08
184,Margate,51.3813,1.3862,5.5,83,100,1.79,GB,2022-12-05 00:11:28
185,Beringovskiy,63.05,179.3167,-11.19,81,100,4.3,RU,2022-12-05 00:11:28
186,Chuy,-33.6971,-53.4616,18.35,94,5,2.84,UY,2022-12-05 00:11:29
187,Santa Maria,-29.6842,-53.8069,21.71,94,42,2.43,BR,2022-12-05 00:11:29
188,Elko,41.0002,-115.5012,3.92,88,96,4.47,US,2022-12-05 00:11:29
189,Smithers,54.7804,-127.1743,-11.65,97,40,0.74,CA,2022-12-05 00:11:30
190,Warrnambool,-38.3833,142.4833,13.68,77,100,8.54,AU,2022-12-05 00:11:30
191,Lovozero,68.005,35.0117,-8.07,91,99,2.06,RU,2022-12-05 00:11:30
192,Kloulklubed,7.0419,134.2556,28.28,73,97,8.09,PW,2022-12-05 00:11:31
193,Bandarbeyla,9.4942,50.8122,24.08,73,59,7.17,SO,2022-12-05 00:11:31
194,Clyde River,70.4692,-68.5914,-14.87,85,100,10.8,CA,2022-12-05 00:11:31
195,Forestville,38.8451,-76.875,4.01,61,0,0.0,US,2022-12-05 00:11:32
196,Richards Bay,-28.783,32.0377,22.26,91,100,3.43,ZA,2022-12-05 00:11:32
197,Pahrump,36.2083,-115.9839,17.19,47,7,6.26,US,2022-12-05 00:11:32
198,Mildura,-34.2,142.15,19.48,64,97,5.98,AU,2022-12-05 00:11:33
